"filename", "language", "TypeScript", "JSON", "YAML", "Markdown", "Vue", "Less", "JSON with Comments", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"/Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/icon.vue", "Vue", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/selfClose.vue", "Vue", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"/Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/selfDesc.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"/Users/velen/Desktop/work/sc/sc-ui/src/package/alert/demo/selfMessage.vue", "Vue", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 4, 50
"/Users/velen/Desktop/work/sc/sc-ui/src/package/alert/index.en-US.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/sc-ui/src/package/alert/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/sc-ui/src/package/alert/index.zh-CN.md", "Markdown", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 23, 98
"/Users/velen/Desktop/work/sc/sc-ui/src/package/contextMenu/index.en-US.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/sc-ui/src/package/contextMenu/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/velen/Desktop/work/sc/sc-ui/src/package/contextMenu/index.zh-CN.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/component/ScDrawer.vue", "Vue", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 4, 43
"/Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/component/type.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 32
"/Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/demo/basic.vue", "Vue", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/index.en-US.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/velen/Desktop/work/sc/sc-ui/src/package/drawer/index.zh-CN.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"/Users/velen/Desktop/work/sc/sc-ui/src/package/modal/components/ScModal.vue", "Vue", 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 17, 207
