Date : 2022-12-05 17:44:02
Directory : /Users/velen/Desktop/work/sc/frontend/sc-ui
Total : 221 files,  28908 codes, 991 comments, 4545 blanks, all 34444 lines

Languages
+------------------------+------------+------------+------------+------------+------------+
| language               | files      | code       | comment    | blank      | total      |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/Empty.vue                     | Vue                    |         15 |          0 |          4 |         19 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/action.vue                    | Vue                    |        188 |          0 |         12 |        200 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/all.vue                       | Vue                    |        354 |          6 |         22 |        382 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/api.vue                       | Vue                    |         87 |          1 |         11 |         99 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/basic.vue                     | Vue                    |         94 |          1 |         12 |        107 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/basicCol.vue                  | Vue                    |         94 |          0 |         10 |        104 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/expandedRow.vue               | Vue                    |         90 |          3 |         10 |        103 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/filter.vue                    | Vue                    |        181 |          0 |         11 |        192 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/header.vue                    | Vue                    |        218 |          0 |         18 |        236 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/radio.vue                     | Vue                    |         96 |          0 |         13 |        109 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/tableData.ts                  | TypeScript             |         70 |          0 |          0 |         70 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/demo/useTable.vue                  | Vue                    |        121 |          1 |         12 |        134 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/uesColumn.ts                 | TypeScript             |        115 |          4 |         18 |        137 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/uesDialog.ts                 | TypeScript             |         64 |          4 |          9 |         77 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/useActions.ts                | TypeScript             |         55 |          6 |          6 |         67 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/useDataSource.ts             | TypeScript             |        331 |         14 |         42 |        387 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/useFIlter.ts                 | TypeScript             |         91 |         17 |         10 |        118 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/useLoading.ts                | TypeScript             |         15 |          1 |          6 |         22 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/usePagination.ts             | TypeScript             |         55 |          5 |         12 |         72 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/useRowSelection.ts           | TypeScript             |        107 |          2 |         16 |        125 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/useTable.ts                  | TypeScript             |        130 |         17 |         13 |        160 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/useTableContext.ts           | TypeScript             |         17 |          0 |          6 |         23 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/hooks/useTableExpand.ts            | TypeScript             |         72 |          2 |         12 |         86 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/index.en-US.md                     | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/index.ts                           | TypeScript             |          8 |          0 |          3 |         11 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/index.zh-CN.md                     | Markdown               |        426 |          0 |        185 |        611 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/types/column.ts                    | TypeScript             |        118 |        102 |         37 |        257 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/types/pagination.ts                | TypeScript             |         33 |         65 |         18 |        116 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/table/types/table.ts                     | TypeScript             |        316 |        134 |         43 |        493 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/tabs/components/ScTabs.vue               | Vue                    |         37 |          0 |          4 |         41 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/tabs/components/ScTabs1.vue              | Vue                    |         60 |          9 |          7 |         76 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/tabs/demo/basic.vue                      | Vue                    |         15 |          0 |          2 |         17 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/tabs/demo/styleMode.vue                  | Vue                    |         15 |          0 |          2 |         17 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/tabs/index.en-US.md                      | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/tabs/index.ts                            | TypeScript             |          3 |          0 |          2 |          5 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/package/tabs/index.zh-CN.md                      | Markdown               |         20 |          0 |          7 |         27 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/color/bezierEasing.less                    | Less                   |         85 |         10 |         16 |        111 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/color/colorPalette.less                    | Less                   |         70 |          8 |          4 |         82 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/color/colors.less                          | Less                   |        146 |          2 |         15 |        163 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/color/tinyColor.less                       | Less                   |        905 |        148 |        132 |      1,185 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/alert.less                       | Less                   |         55 |          0 |          0 |         55 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/button.less                      | Less                   |         35 |          0 |          2 |         37 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/dropdown.less                    | Less                   |        129 |          0 |          0 |        129 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/index.less                       | Less                   |         14 |          0 |          0 |         14 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/menu.less                        | Less                   |          0 |          0 |          1 |          1 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/modal.less                       | Less                   |        134 |          8 |          0 |        142 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/pagination.less                  | Less                   |         27 |          0 |          0 |         27 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/radio.less                       | Less                   |         50 |          1 |          1 |         52 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/select.less                      | Less                   |         36 |          7 |          0 |         43 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/step.less                        | Less                   |        275 |         16 |         21 |        312 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/steps.less                       | Less                   |         15 |          0 |          0 |         15 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/table.less                       | Less                   |        296 |          4 |          9 |        309 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/tabs.less                        | Less                   |         49 |          0 |          0 |         49 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/tag.less                         | Less                   |         15 |          0 |          0 |         15 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/component/tooltip.less                     | Less                   |         18 |          1 |          0 |         19 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/index.less                                 | Less                   |          5 |          1 |          1 |          7 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/other/index.less                           | Less                   |        108 |          3 |          6 |        117 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/var/common.less                            | Less                   |         36 |          0 |          3 |         39 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/var/index.less                             | Less                   |         68 |         13 |         34 |        115 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/style/var/mixins.less                            | Less                   |          3 |          0 |          0 |          3 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/types.ts                                         | TypeScript             |          4 |          0 |          0 |          4 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/types/draggable.ts                               | TypeScript             |         30 |         51 |          2 |         83 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/utils/index.ts                                   | TypeScript             |         33 |          1 |         10 |         44 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/utils/is.ts                                      | TypeScript             |         73 |          2 |         26 |        101 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/utils/nodeType.ts                                | TypeScript             |         41 |          2 |         10 |         53 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/utils/propTypes.ts                               | TypeScript             |         29 |          1 |          5 |         35 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/utils/treeHelper.ts                              | TypeScript             |        177 |         14 |         14 |        205 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/utils/uuid.ts                                    | TypeScript             |         26 |          0 |          3 |         29 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/tsconfig.json                                        | JSON with Comments     |         45 |         37 |          1 |         83 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/types/global.d.ts                                    | TypeScript             |         24 |          2 |          0 |         26 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/types/shims-vue.d.ts                                 | TypeScript             |          0 |          6 |          0 |          6 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/types/utils.d.ts                                     | TypeScript             |          4 |          0 |          2 |          6 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/types/vue-test-utils.d.ts                            | TypeScript             |          9 |          2 |          3 |         14 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/vite.config.ts                                       | TypeScript             |         55 |         12 |          7 |         74 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/yarn-error.log                                       | ReactNativeToolsOutput |        151 |          0 |          9 |        160 |
| Total                                                                                            |                        |     28,908 |        991 |      4,545 |     34,444 |
+--------------------------------------------------------------------------------------------------+------------------------+------------+------------+------------+------------+
