Date : 2022-12-05 17:44:02
Directory : /Users/velen/Desktop/work/sc/frontend/sc-ui
Total : 221 files,  28908 codes, 991 comments, 4545 blanks, all 34444 lines

Languages
+------------------------+------------+------------+------------+------------+------------+
| language               | files      | code       | comment    | blank      | total      |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/iconfont.css                        | CSS                    |        230 |          0 |         75 |        305 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/iconfont.js                         | JavaScript             |          1 |          0 |          0 |          1 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/iconfont.json                       | JSON                   |        513 |          0 |          1 |        514 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/iconfont.svg                        | XML                    |         90 |          0 |         74 |        164 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/logo.svg                                 | XML                    |         19 |          0 |          0 |         19 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/package copy.json                                    | JSON                   |        104 |          0 |          1 |        105 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/package copy1.json                                   | JSON                   |         35 |          0 |          1 |         36 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/package.json                                         | JSON                   |        130 |          0 |          0 |        130 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/pnpm-lock.yaml                                       | YAML                   |      7,463 |          0 |      1,140 |      8,603 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/__docs__/index.en-US.md                          | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/__docs__/index.zh-CN.md                          | Markdown               |          6 |          0 |          3 |          9 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/constans/index.ts                                | TypeScript             |         13 |          0 |          0 |         13 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/direactives/clickOutside.ts                      | TypeScript             |        103 |          4 |         13 |        120 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/direactives/index.ts                             | TypeScript             |          7 |          0 |          3 |         10 |
| /Users/velen/Desktop/work/sc/frontend/sc-ui/src/direactives/textCollapse.ts                      | TypeScript             |         41 |          0 |          5 |         46 |
