"filename", "language", "TypeScript", "Vue", "Markdown", "Less", "JSON with Comments", "JSON", "JavaScript", "ReactNativeToolsOutput", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"/Users/velen/Desktop/work/sc/frontend/sc-ui/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/velen/Desktop/work/sc/frontend/sc-ui/build/constant.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 10
"/Users/velen/Desktop/work/sc/frontend/sc-ui/build/plugin/index.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 61
"/Users/velen/Desktop/work/sc/frontend/sc-ui/build/plugin/legacy.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 8
"/Users/velen/Desktop/work/sc/frontend/sc-ui/build/plugin/visualizer.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/velen/Desktop/work/sc/frontend/sc-ui/build/plugin/windicss.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/velen/Desktop/work/sc/frontend/sc-ui/build/theme/index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/velen/Desktop/work/sc/frontend/sc-ui/build/theme/variables.less", "Less", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/.vitepress/config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 2, 59
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/.vitepress/sidebar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 9, 0, 117
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/.vitepress/theme/index.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 30
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/.vitepress/theme/theme.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1480, 0, 0, 0, 291, 1771
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/.vitepress/theme/var.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 32, 27, 186
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/demo.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 435, 0, 0, 19, 86, 540
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/demo_index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1612, 2, 232, 1846
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 75, 305
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/iconfont.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/iconfont.json", "JSON", 0, 0, 0, 0, 0, 513, 0, 0, 0, 0, 0, 0, 0, 1, 514
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/font/iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 74, 164
"/Users/velen/Desktop/work/sc/frontend/sc-ui/docs/public/logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 19
"/Users/velen/Desktop/work/sc/frontend/sc-ui/package copy.json", "JSON", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 105
"/Users/velen/Desktop/work/sc/frontend/sc-ui/package copy1.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/velen/Desktop/work/sc/frontend/sc-ui/package.json", "JSON", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 130
